Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Selected
300,SAT_035,"Tahiti, French Polynesia",56.62,1559.1,371.3,YES
301,SAT_036,"Tahiti, French Polynesia",79.41,1819.1,107.1,YES
302,SAT_059,"Kapolei, USA",52.8,1515.5,422.7,YES
303,SAT_059,"Kapolei, USA",85.79,1892.0,42.0,YES
304,SAT_084,"North Pole, USA",81.77,1846.1,84.0,YES
305,SAT_087,"Utqiagvik, USA",74.47,1762.8,161.3,YES
306,SAT_087,"Utqiagvik, USA",65.8,1663.8,259.5,YES
307,SAT_118,"Guildford Pole, UK",83.98,1871.3,60.9,YES
308,SAT_143,"Accra, Ghana",70.24,1714.5,203.3,YES
309,SAT_117,"Dublin, Ireland",74.31,1760.9,161.6,YES
310,SAT_108,"Sodankylä, Finland",83.62,1867.2,64.9,YES
311,SAT_166,"Cape Town, South Africa",62.77,1629.3,294.4,YES
312,SAT_166,"Cape Town, South Africa",80.83,1835.4,93.2,YES
313,SAT_166,"Cape Town, South Africa",49.35,1476.1,480.8,YES
314,SAT_073,"Obihiro, Japan",69.32,1704.0,215.1,YES
315,SAT_074,"Chitose, Japan",78.19,1805.3,119.6,YES
316,SAT_148,"Mwulire, Rwanda",74.1,1758.5,161.0,YES
317,SAT_055,"Harmon, Guam",80.52,1831.8,94.5,YES
318,SAT_074,"Seoul, South Korea",81.19,1839.5,88.4,YES
319,SAT_030,"Alice Springs, Australia",71.48,1728.7,190.4,YES
320,SAT_126,"Zallaq, Bahrain",85.14,1884.6,48.2,YES
321,SAT_125,"Dubai, UAE",84.0,1871.5,59.5,YES
322,SAT_020,"Mingenew, Australia",61.77,1617.9,303.6,YES
323,SAT_020,"Mingenew, Australia",36.0,1323.7,730.5,YES
324,SAT_125,"Dubai, UAE",22.33,1167.8,1134.7,YES
325,SAT_049,Singapore,23.06,1176.1,1102.1,YES
326,SAT_049,Singapore,38.6,1353.5,661.5,YES
327,SAT_049,Singapore,68.38,1693.2,220.9,YES
328,SAT_049,Singapore,68.4,1693.5,220.4,YES
329,SAT_048,Singapore,38.55,1352.8,660.8,YES
330,SAT_048,Singapore,22.98,1175.1,1100.8,YES
331,SAT_048,Singapore,13.74,1069.7,1541.5,YES
332,SAT_115,Singapore,8.23,1006.9,1923.1,YES
333,SAT_170,Singapore,11.38,1042.8,1691.8,YES
334,SAT_159,Singapore,16.52,1101.4,1385.6,YES
335,SAT_151,Singapore,25.25,1201.1,1013.9,YES
336,SAT_150,Singapore,39.88,1368.0,629.5,YES
337,SAT_149,Singapore,66.13,1667.6,243.9,YES
338,SAT_149,Singapore,75.61,1775.7,142.1,YES
339,SAT_149,Singapore,45.29,1429.8,528.1,YES
340,SAT_020,"Dubai, UAE",36.83,1333.2,694.9,YES
341,SAT_021,"Dubai, UAE",64.32,1647.0,265.1,YES
342,SAT_021,"Dubai, UAE",72.89,1744.8,170.7,YES
343,SAT_121,"Mingenew, Australia",77.85,1801.3,120.9,YES
344,SAT_121,"Mingenew, Australia",63.66,1639.4,275.8,YES
345,SAT_048,"Mwulire, Rwanda",50.2,1485.8,448.2,YES
346,SAT_048,"Mwulire, Rwanda",88.96,1928.1,10.0,YES
347,SAT_173,"Seoul, South Korea",87.09,1906.8,28.3,YES
348,SAT_064,"Pretoria, South Africa",69.03,1700.7,213.1,YES
349,SAT_155,"Harmon, Guam",67.05,1678.1,232.1,YES
350,SAT_067,"Cape Town, South Africa",81.75,1845.9,81.4,YES
351,SAT_172,"Obihiro, Japan",79.95,1825.4,98.7,YES
352,SAT_012,"Stockholm, Sweden",85.5,1888.6,44.3,YES
353,SAT_016,"Dublin, Ireland",86.92,1904.8,30.2,YES
354,SAT_018,"Guildford Pole, UK",76.71,1788.3,132.0,YES
355,SAT_015,"Dundee, Scotland",80.05,1826.5,98.4,YES
356,SAT_121,"Awarua, New Zeland",84.26,1874.5,57.1,YES
357,SAT_121,"Awarua, New Zeland",51.33,1498.7,442.8,YES
358,SAT_188,"Utqiagvik, USA",67.71,1685.6,230.4,YES
359,SAT_188,"Deadhorse, USA",74.55,1763.7,156.0,YES
360,SAT_186,"North Pole, USA",72.59,1741.3,176.6,YES
361,SAT_186,"North Pole, USA",67.65,1685.0,230.8,YES
362,SAT_084,"Ushuaia, Argentina",42.68,1400.0,594.6,YES
363,SAT_084,"Ushuaia, Argentina",73.09,1747.0,174.1,YES
364,SAT_084,"Punta Arenas, Chile",83.57,1866.6,64.7,YES
365,SAT_161,"Paumalu, USA",84.23,1874.1,56.2,YES
366,SAT_186,"Portland, USA",55.47,1545.9,381.0,YES
367,SAT_186,"Portland, USA",83.11,1861.4,68.2,YES
368,SAT_010,"Columbus, USA",84.22,1874.1,57.0,YES
369,SAT_012,"Pendergrass, USA",68.42,1693.8,221.4,YES
370,SAT_186,"Mojave, USA",86.08,1895.2,38.7,YES
371,SAT_186,"Mojave, USA",52.13,1507.9,428.1,YES
372,SAT_186,"Mojave, USA",31.57,1273.2,832.9,YES
373,SAT_185,"Mojave, USA",19.9,1140.1,1236.8,YES
374,SAT_185,"Mojave, USA",12.33,1053.6,1641.2,YES
375,SAT_184,"Mojave, USA",6.8,990.6,2045.1,YES
385,SAT_090,"Mojave, USA",8.03,1004.6,1959.7,YES
386,SAT_090,"Mojave, USA",14.23,1075.3,1539.7,YES
387,SAT_090,"Mojave, USA",23.06,1176.1,1120.0,YES
388,SAT_090,"Mojave, USA",37.42,1340.0,700.5,YES
389,SAT_090,"Mojave, USA",63.65,1639.3,281.4,YES
390,SAT_090,"Mojave, USA",76.53,1786.2,137.5,YES
391,SAT_114,"Pendergrass, USA",72.08,1735.5,184.7,YES
392,SAT_032,"Tahiti, French Polynesia",84.56,1877.9,54.6,YES
393,SAT_112,"Columbus, USA",79.49,1820.0,106.7,YES
394,SAT_062,"Kapolei, USA",77.32,1795.2,128.1,YES
