Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Selected
514,SAT_181,"Cape Town, South Africa",46.53,514.2,528.3,YES
515,SAT_181,"Cape Town, South Africa",77.14,856.3,131.4,YES
516,SAT_142,"Accra, Ghana",66.61,738.6,241.9,YES
517,SAT_079,"Dubai, UAE",57.63,638.3,353.7,YES
518,SAT_083,"Zallaq, Bahrain",83.31,925.2,66.5,YES
519,SAT_185,"Pretoria, South Africa",63.97,709.1,276.4,YES
520,SAT_184,"Pretoria, South Africa",38.28,422.0,677.9,YES
521,SAT_184,"Pretoria, South Africa",23.91,261.4,1081.0,YES
522,SAT_156,"Mwulire, Rwanda",30.07,330.2,870.2,YES
523,SAT_156,"Mwulire, Rwanda",48.27,533.6,484.2,YES
524,SAT_155,"Mwulire, Rwanda",80.02,888.4,98.5,YES
525,SAT_153,"Mwulire, Rwanda",62.63,694.1,286.2,YES
526,SAT_082,"Mwulire, Rwanda",40.54,447.2,623.2,YES
527,SAT_066,"Mwulire, Rwanda",63.25,701.1,279.1,YES
528,SAT_057,"Mwulire, Rwanda",76.01,843.6,138.7,YES
529,SAT_056,"Mwulire, Rwanda",42.82,472.7,574.5,YES
530,SAT_055,"Mwulire, Rwanda",25.28,276.7,1013.5,YES
531,SAT_089,"Pretoria, South Africa",32.81,360.8,799.8,YES
532,SAT_089,"Pretoria, South Africa",55.69,616.5,378.1,YES
533,SAT_089,"Pretoria, South Africa",85.43,948.9,45.2,YES
534,SAT_181,"Zallaq, Bahrain",85.46,949.3,44.3,YES
535,SAT_176,"Dubai, UAE",70.71,784.4,194.2,YES
536,SAT_085,"Cape Town, South Africa",75.48,837.7,146.4,YES
537,SAT_085,"Cape Town, South Africa",43.91,484.9,564.6,YES
538,SAT_085,"Cape Town, South Africa",26.6,291.4,987.0,YES
539,SAT_006,"Dublin, Ireland",29.17,320.1,895.8,YES
540,SAT_006,"Dublin, Ireland",48.96,541.4,474.0,YES
541,SAT_006,"Dublin, Ireland",84.46,938.1,54.5,YES
542,SAT_001,"Stockholm, Sweden",83.44,926.6,55.7,YES
543,SAT_008,"Dundee, Scotland",78.79,874.7,111.3,YES
544,SAT_198,"Sodankylä, Finland",84.03,933.2,59.1,YES
545,SAT_147,Singapore,68.99,765.2,210.9,YES
546,SAT_147,Singapore,69.41,769.8,206.3,YES
547,SAT_147,Singapore,42.12,464.8,582.4,YES
548,SAT_130,"Mingenew, Australia",55.92,619.2,372.1,YES
549,SAT_131,"Mingenew, Australia",79.64,884.2,102.3,YES
550,SAT_131,"Mingenew, Australia",52.15,577.0,424.7,YES
551,SAT_077,"Ushuaia, Argentina",80.77,896.8,92.8,YES
552,SAT_076,"Punta Arenas, Chile",80.82,897.4,92.2,YES
553,SAT_133,"Alice Springs, Australia",62.07,687.8,293.2,YES
554,SAT_133,"Alice Springs, Australia",79.72,885.2,101.3,YES
555,SAT_195,"Utqiagvik, USA",81.11,900.7,88.6,YES
556,SAT_197,"Deadhorse, USA",62.52,692.9,291.5,YES
557,SAT_155,"Harmon, Guam",86.11,956.6,37.7,YES
558,SAT_114,"Awarua, New Zeland",65.08,721.4,263.5,YES
559,SAT_114,"Awarua, New Zeland",75.91,842.5,143.1,YES
560,SAT_011,"Portland, USA",82.7,918.5,72.1,YES
561,SAT_018,"Mojave, USA",66.17,733.6,246.1,YES
562,SAT_019,"Mojave, USA",70.15,778.1,201.6,YES
563,SAT_019,"Mojave, USA",40.64,448.4,620.1,YES
564,SAT_019,"Mojave, USA",24.48,267.7,1049.4,YES
565,SAT_190,"Paumalu, USA",17.68,191.7,1341.3,YES
566,SAT_190,"Paumalu, USA",28.12,308.4,933.0,YES
567,SAT_191,"Paumalu, USA",46.08,509.1,524.2,YES
568,SAT_191,"Paumalu, USA",78.56,872.2,114.2,YES
569,SAT_088,"Tahiti, French Polynesia",74.74,829.5,154.8,YES
570,SAT_088,"Tahiti, French Polynesia",64.59,716.1,267.8,YES
571,SAT_087,"Tahiti, French Polynesia",37.79,416.5,687.2,YES
572,SAT_085,"Tahiti, French Polynesia",23.24,253.9,1106.3,YES
573,SAT_081,"Tahiti, French Polynesia",14.42,155.3,1520.8,YES
574,SAT_068,"Tahiti, French Polynesia",8.63,90.6,1901.6,YES
575,SAT_001,"Tahiti, French Polynesia",13.48,144.8,1643.2,YES
576,SAT_001,"Tahiti, French Polynesia",19.26,209.4,1341.6,YES
577,SAT_187,"Tahiti, French Polynesia",28.43,311.9,933.5,YES
578,SAT_186,"Tahiti, French Polynesia",46.04,508.7,531.7,YES
579,SAT_185,"Tahiti, French Polynesia",77.13,856.1,130.9,YES
580,SAT_095,"Kapolei, USA",88.68,985.2,13.2,YES
581,SAT_096,"Paumalu, USA",55.31,612.2,388.5,YES
582,SAT_096,"Paumalu, USA",33.23,365.5,800.8,YES
583,SAT_096,"Paumalu, USA",20.82,226.9,1214.3,YES
584,SAT_097,"Paumalu, USA",12.9,138.3,1627.3,YES
585,SAT_120,"Mojave, USA",18.72,203.4,1304.6,YES
586,SAT_120,"Mojave, USA",29.18,320.2,912.1,YES
587,SAT_120,"Mojave, USA",46.68,515.8,521.1,YES
588,SAT_120,"Mojave, USA",75.88,842.2,144.0,YES
589,SAT_012,"Awarua, New Zeland",82.36,914.6,78.6,YES
590,SAT_025,"Dubbo, Australia",83.11,923.0,70.0,YES
591,SAT_100,"North Pole, USA",57.75,639.6,360.5,YES
592,SAT_100,"North Pole, USA",84.53,938.8,55.7,YES
593,SAT_032,"Alice Springs, Australia",79.8,886.0,103.6,YES
594,SAT_097,"Utqiagvik, USA",68.9,764.2,223.6,YES
595,SAT_068,"Seoul, South Korea",84.94,943.5,50.8,YES
596,SAT_127,"Pendergrass, USA",82.14,912.2,79.0,YES
597,SAT_030,"Mingenew, Australia",78.34,869.7,119.0,YES
598,SAT_176,"Punta Arenas, Chile",62.42,691.7,303.3,YES
599,SAT_176,"Punta Arenas, Chile",81.23,902.0,90.5,YES
600,SAT_047,Singapore,81.92,909.7,80.7,YES
601,SAT_164,"Cordoba, Argentina",71.26,790.6,195.0,YES
602,SAT_164,"Cordoba, Argentina",43.58,481.2,579.8,YES
603,SAT_094,"Sodankylä, Finland",39.39,434.4,666.9,YES
604,SAT_094,"Sodankylä, Finland",65.7,728.4,259.9,YES
605,SAT_095,"Öjebyn, Sweden",78.28,869.0,120.1,YES
606,SAT_095,"Öjebyn, Sweden",60.37,668.9,324.7,YES
607,SAT_096,"Stockholm, Sweden",84.73,941.1,53.3,YES
608,SAT_100,"Dublin, Ireland",74.82,830.3,156.0,YES
609,SAT_104,"Guildford Pole, UK",72.8,807.8,177.2,YES
610,SAT_066,"Dubai, UAE",64.56,715.7,267.3,YES
611,SAT_066,"Dubai, UAE",72.4,803.2,179.1,YES
612,SAT_069,"Zallaq, Bahrain",65.8,729.5,252.6,YES
613,SAT_200,"Cape Town, South Africa",61.69,683.6,307.6,YES
614,SAT_200,"Cape Town, South Africa",79.25,879.8,109.3,YES
615,SAT_011,"Pretoria, South Africa",83.47,927.1,65.5,YES
616,SAT_011,"Pretoria, South Africa",57.11,632.4,362.9,YES
617,SAT_043,"Mwulire, Rwanda",39.65,437.2,640.6,YES
618,SAT_043,"Mwulire, Rwanda",70.3,779.8,200.0,YES
619,SAT_134,"Accra, Ghana",86.72,963.4,32.1,YES
620,SAT_134,"Accra, Ghana",57.08,632.1,356.5,YES
621,SAT_135,"Accra, Ghana",34.86,383.8,743.2,YES
622,SAT_137,"Accra, Ghana",22.26,242.9,1128.6,YES
623,SAT_008,"Accra, Ghana",14.7,158.4,1494.6,YES
624,SAT_026,"Accra, Ghana",22.99,251.0,1100.8,YES
625,SAT_030,"Accra, Ghana",38.2,421.0,666.4,YES
626,SAT_031,"Accra, Ghana",67.56,749.2,228.6,YES
627,SAT_032,"Accra, Ghana",69.11,766.6,211.2,YES
628,SAT_143,"Mwulire, Rwanda",77.09,855.7,127.2,YES
629,SAT_143,"Mwulire, Rwanda",64.6,716.1,261.4,YES
630,SAT_114,"Pretoria, South Africa",49.05,542.3,474.0,YES
631,SAT_114,"Pretoria, South Africa",82.28,913.7,76.3,YES
632,SAT_103,"Cape Town, South Africa",80.82,897.4,91.5,YES
633,SAT_104,"Cape Town, South Africa",59.32,657.1,331.9,YES
634,SAT_167,"Zallaq, Bahrain",36.06,397.1,709.9,YES
635,SAT_167,"Zallaq, Bahrain",59.84,662.9,318.1,YES
636,SAT_167,"Zallaq, Bahrain",82.16,912.3,76.4,YES
637,SAT_001,"Guildford Pole, UK",84.48,938.3,46.9,YES
638,SAT_001,"Dundee, Scotland",73.1,811.1,146.8,YES
639,SAT_193,"Stockholm, Sweden",82.65,917.8,72.7,YES
