Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Aggregated_Rate_Mbps,Simultaneous_Count
28,SAT_064,"Paumalu, USA",55.7,616.6,379.2,6523.3,11
28,SAT_166,"Mingenew, Australia",47.64,526.5,504.6,6523.3,11
28,SAT_061,"Kapolei, USA",45.86,506.6,528.7,6523.3,11
28,SAT_146,Singapore,30.22,331.9,871.1,6523.3,11
28,SAT_186,"Dubbo, Australia",20.96,228.4,1220.1,6523.3,11
28,SAT_175,"Alice Springs, Australia",16.95,183.6,1401.2,6523.3,11
29,SAT_063,"Kapolei, USA",85.86,953.7,40.9,5464.6,11
29,SAT_064,"Paumalu, USA",75.21,834.7,149.1,5464.6,11
29,SAT_108,"Obihiro, Japan",51.9,574.1,436.7,5464.6,11
29,SAT_001,"Awarua, New Zeland",51.14,565.7,480.1,5464.6,11
29,SAT_111,"Chitose, Japan",42.91,473.7,586.0,5464.6,11
29,SAT_118,"Seoul, South Korea",38.37,423.0,674.9,5464.6,11
29,SAT_035,"Tahiti, French Polynesia",38.09,419.9,679.9,5464.6,11
29,SAT_186,"Dubbo, Australia",32.85,361.3,818.2,5464.6,11
29,SAT_166,"Mingenew, Australia",29.93,328.6,888.5,5464.6,11
29,SAT_171,"Alice Springs, Australia",28.97,317.9,920.2,5464.6,11
29,SAT_146,Singapore,19.49,212.0,1255.4,5464.6,11
30,SAT_186,"Dubbo, Australia",53.56,592.7,416.8,3676.4,10
30,SAT_062,"Kapolei, USA",49.38,546.0,470.2,3676.4,10
30,SAT_171,"Alice Springs, Australia",45.83,506.3,535.4,3676.4,10
30,SAT_066,"Paumalu, USA",37.33,411.4,693.8,3676.4,10
30,SAT_108,"Obihiro, Japan",31.65,347.8,838.5,3676.4,10
30,SAT_001,"Awarua, New Zeland",31.6,347.3,889.0,3676.4,10
30,SAT_113,"Chitose, Japan",25.28,276.6,1033.4,3676.4,10
30,SAT_119,"Seoul, South Korea",24.33,266.0,1064.9,3676.4,10
30,SAT_035,"Tahiti, French Polynesia",22.94,250.5,1116.1,3676.4,10
30,SAT_146,Singapore,12.32,131.9,1639.8,3676.4,10
31,SAT_186,"Dubbo, Australia",84.91,943.1,51.3,3243.4,10
31,SAT_170,"Alice Springs, Australia",75.75,840.8,144.7,3243.4,10
31,SAT_062,"Kapolei, USA",29.24,320.9,898.3,3243.4,10
31,SAT_109,"Obihiro, Japan",19.99,217.5,1241.3,3243.4,10
31,SAT_002,"Awarua, New Zeland",19.94,216.9,1299.9,3243.4,10
31,SAT_068,"Paumalu, USA",19.9,216.5,1238.9,3243.4,10
31,SAT_119,"Seoul, South Korea",15.55,167.9,1455.9,3243.4,10
31,SAT_036,"Tahiti, French Polynesia",13.85,148.9,1550.9,3243.4,10
31,SAT_128,"Harmon, Guam",9.34,98.5,1846.0,3243.4,10
31,SAT_146,Singapore,7.01,72.5,2024.4,3243.4,10
32,SAT_170,"Alice Springs, Australia",66.3,735.1,248.2,2131.9,8
32,SAT_185,"Dubbo, Australia",55.47,614.1,387.2,2131.9,8
32,SAT_061,"Kapolei, USA",17.86,193.8,1329.5,2131.9,8
32,SAT_122,"Harmon, Guam",17.47,189.4,1352.8,2131.9,8
32,SAT_109,"Obihiro, Japan",12.43,133.1,1641.3,2131.9,8
32,SAT_071,"Paumalu, USA",9.21,97.0,1857.3,2131.9,8
32,SAT_006,"Awarua, New Zeland",8.66,90.9,1918.9,2131.9,8
32,SAT_036,"Tahiti, French Polynesia",7.55,78.5,1985.1,2131.9,8
33,SAT_169,"Alice Springs, Australia",40.61,448.0,628.1,1225.9,4
33,SAT_185,"Dubbo, Australia",33.65,370.3,788.8,1225.9,4
33,SAT_122,"Harmon, Guam",27.04,296.4,966.9,1225.9,4
33,SAT_061,"Kapolei, USA",10.48,111.3,1759.7,1225.9,4
